LRP_Yr,EKIfld,Appl,Repurp,OpenET_acres,concat_appl_ID
Yr1,4,1,Y,35.695,00001
Yr1,9,1,Y,37.803,00001
Yr1,57,10,Y,22.237,00010
Yr1,58,10,Y,28.941,00010
Yr1,59,10,Y,29.804,00010
Yr1,60,10,Y,46.712,00010
Yr1,61,10,Y,71.27,00010
Yr1,62,10,Y,74.851,00010
Yr1,63,10,Y,68.005,00010
Yr1,64,10,Y,54.911,00010
Yr1,65,10,Y,44.813,00010
Yr1,66,10,Y,80.085,00010
Yr1,67,10,Y,76.055,00010
Yr1,68,10,Y,79.27,00010
Yr1,69,10,Y,84.167,00010
Yr1,70,10,Y,76.358,00010
Yr1,71,10,Y,72.907,00010
Yr1,72,10,Y,21.292,00010
Yr1,85,16,Y,112.676,00016
Yr1,86,16,Y,46.562,00016
Yr1,87,16,Y,56.57,00016
Yr1,88,16,Y,64.14,00016
Yr1,89,16,Y,42.805,00016
Yr1,90,16,Y,49.734,00016
Yr1,91,16,Y,48.993,00016
Yr1,92,16,Y,50.959,00016
Yr1,93,16,Y,0.46,00016
Yr1,73,11_12,Y,35.171,00011_12
Yr1,74,11_12,Y,4.697,00011_12
Yr1,75,11_12,Y,7.09,00011_12
Yr1,76,11_12,Y,12.434,00011_12
Yr1,16,5,Y,106.593,00005
Yr1,22,5,Y,121.873,00005
Yr1,25,5,Y,122.614,00005
Yr1,37,5,Y,128.621,00005
Yr1,51,7,Y,101.326,00007
Yr1,80,14_15,Y,44.008,00014_15
Yr1,81,14_15,Y,9.484,00014_15
Yr1,82,14_15,Y,11.226,00014_15
Yr1,83,14_15,Y,7.129,00014_15
Yr1,84,14_15,Y,9.4,00014_15
Yr1,177,14_15,Y,2.56,00014_15
Yr1,1000,Native,Y,391.888,000Native
Yr1,77,13,Y,31.903,00013
Yr1,78,13,Y,24.469,00013
Yr1,79,13,Y,86.568,00013
Yr1,1,1,N,7.737,00001
Yr1,2,1,N,1.863,00001
Yr1,3,1,N,18.538,00001
Yr1,5,1,N,51.553,00001
Yr1,6,1,N,0.621,00001
Yr1,7,1,N,15.276,00001
Yr1,103,1,N,27.575,00001
Yr1,8,1,N,17.891,00001
Yr1,10,1,N,19.125,00001
Yr1,11,1,N,19.124,00001
Yr1,12,1,N,48.45,00001
Yr1,105,1,N,155.452,00001
Yr1,106,5,N,401.482,00005
Yr1,107,5,N,255.9,00005
Yr1,108,5,N,62.978,00005
Yr1,109,5,N,175.021,00005
Yr1,110,5,N,636.627,00005
Yr1,111,5,N,457.639,00005
Yr1,112,5,N,42.395,00005
Yr1,113,5,N,318.437,00005
Yr1,114,5,N,954.135,00005
Yr1,115,5,N,0.22,00005
Yr1,116,5,N,310.84,00005
Yr1,117,5,N,28.836,00005
Yr1,118,5,N,869.713,00005
Yr1,119,5,N,338.854,00005
Yr1,13,5,N,13.583,00005
Yr1,14,5,N,10.139,00005
Yr1,15,5,N,29.336,00005
Yr1,17,5,N,5.616,00005
Yr1,120,5,N,27.547,00005
Yr1,18,5,N,14.924,00005
Yr1,19,5,N,9.293,00005
Yr1,20,5,N,7.373,00005
Yr1,21,5,N,123.064,00005
Yr1,23,5,N,5.508,00005
Yr1,24,5,N,14.806,00005
Yr1,26,5,N,6.07,00005
Yr1,27,5,N,7.134,00005
Yr1,28,5,N,122.684,00005
Yr1,29,5,N,7.235,00005
Yr1,30,5,N,13.111,00005
Yr1,31,5,N,12.889,00005
Yr1,32,5,N,6.852,00005
Yr1,33,5,N,5.839,00005
Yr1,121,5,N,43.93,00005
Yr1,34,5,N,8.233,00005
Yr1,35,5,N,15.145,00005
Yr1,36,5,N,121.942,00005
Yr1,38,5,N,7.099,00005
Yr1,39,5,N,129.031,00005
Yr1,40,5,N,6.897,00005
Yr1,41,5,N,16.535,00005
Yr1,42,5,N,7.777,00005
Yr1,43,5,N,7.58,00005
Yr1,44,5,N,118.594,00005
Yr1,45,5,N,8.934,00005
Yr1,46,5,N,7.378,00005
Yr1,47,5,N,7.768,00005
Yr1,48,5,N,7.524,00005
Yr1,49,5,N,6.193,00005
Yr1,122,5,N,29.522,00005
Yr1,50,7,N,48.652,00007
Yr1,123,5,N,7.135,00005
Yr1,187,7,N,66.712,00007
Yr1,188,7,N,11.894,00007
Yr1,189,7,N,226.683,00007
Yr1,124,5,N,149.962,00005
Yr1,125,5,N,63.272,00005
Yr1,190,7,N,82.894,00007
Yr1,126,5,N,251.716,00005
Yr1,134,10,N,644.469,00010
Yr1,135,10,N,326.215,00010
Yr1,137,10,N,620.844,00010
Yr1,139,10,N,363.829,00010
Yr1,141,14_15,N,14.343,00014_15
Yr1,182,14_15,N,46.064,00014_15
Yr1,183,14_15,N,54.808,00014_15
Yr1,142,14_15,N,18.703,00014_15
Yr1,180,14_15,N,99.519,00014_15
Yr1,181,14_15,N,7.188,00014_15
Yr1,143,16,N,473.172,00016
Yr1,184,16,N,84.277,00016
Yr1,147,11_12,N,7.364,00011_12
Yr1,178,11_12,N,19.304,00011_12
Yr1,179,11_12,N,71.471,00011_12
Yr2,75,2,Y,35.615,10002
Yr2,80,2,Y,73.472,10002
Yr2,81,2,Y,70.606,10002
Yr2,82,2,Y,79.278,10002
Yr2,83,2,Y,40.121,10002
Yr2,84,2,Y,34.26,10002
Yr2,85,2,Y,72.16,10002
Yr2,86,2,Y,64.959,10002
Yr2,87,2,Y,57.895,10002
Yr2,88,2,Y,77.7,10002
Yr2,89,2,Y,45.306,10002
Yr2,90,2,Y,27.63,10002
Yr2,91,2,Y,74.835,10002
Yr2,92,2,Y,77.394,10002
Yr2,93,2,Y,91.781,10002
Yr2,78,9,Y,103.201,10009
Yr2,94,1,Y,181.525,10001
Yr2,95,1,Y,166.684,10001
Yr2,96,1,Y,92.926,10001
Yr2,97,1,Y,41.154,10001
Yr2,98,1,Y,11.545,10001
Yr2,76,3,Y,60.579,10003
Yr2,99,3,Y,5.659,10003
Yr2,100,3,Y,33.314,10003
Yr2,40,3,N,1.262,10003
Yr2,59,3,N,112.509,10003
Yr2,23,3,N,99.039,10003
Yr2,30,3,N,52.532,10003
Yr2,41,3,N,1.836,10003
Yr2,16,9,N,4.9,10009
Yr2,28,9,N,78.917,10009
Yr2,29,9,N,382.575,10009
Yr2,47,9,N,4.961,10009
Yr2,62,9,N,84.311,10009
Yr2,15,9,N,44.163,10009
Yr2,63,9,N,317.209,10009
Yr2,14,9,N,151.897,10009
Yr2,2,2,N,42.077,10002
Yr2,3,2,N,23.569,10002
Yr2,0,2,N,314.194,10002
Yr2,24,2,N,637.732,10002
Yr2,4,2,N,363.851,10002
Yr2,25,2,N,620.712,10002
Yr2,21,1,N,92.707,10001
Yr2,22,1,N,626.326,10001
Yr2,52,1,N,8.133,10001
Yr2,54,1,N,197.88,10001
Yr2,57,1,N,625.253,10001
Yr2,56,1,N,505.921,10001
Yr2,17,1,N,186.795,10001
Yr2,31,1,N,19.209,10001
Yr2,32,1,N,19.053,10001
Yr2,74,1,N,19.839,10001
Yr2,34,1,N,19.017,10001
Yr2,35,1,N,19.102,10001
Yr2,36,1,N,19.352,10001
Yr2,37,1,N,19.434,10001
Yr2,38,1,N,19.136,10001
Yr2,39,1,N,19.903,10001
Yr2,42,1,N,18.611,10001
Yr2,43,1,N,19.2,10001
Yr2,44,1,N,18.829,10001
Yr2,55,1,N,589.775,10001
Yr2,61,1,N,543.501,10001
Yr2,64,1,N,18.982,10001
Yr2,65,1,N,19.11,10001
Yr2,66,1,N,19.387,10001
Yr2,67,1,N,20.417,10001
Yr2,68,1,N,20.262,10001
